id,job_id,type,created_at,updated_at
1,1,Nhân viên,4/3/2023,4/4/2023
2,2,Nhân viên,4/3/2023,4/4/2023
3,3,Nhân viên,4/3/2023,4/4/2023
4,4,Nhân viên,4/3/2023,4/4/2023
5,5,Nhân viên,4/3/2023,4/4/2023
6,6,Nhân viên,4/3/2023,4/4/2023
7,7,Nhân viên,4/3/2023,4/4/2023
8,8,Trưởng chi nhánh,4/3/2023,4/4/2023
9,9,Trưởng nhóm,4/3/2023,4/4/2023
10,10,Nhân viên,4/3/2023,4/4/2023
11,11,Thực tập sinh,4/3/2023,4/4/2023
12,12,Nhân viên,4/3/2023,4/4/2023
13,13,Nhân viên,4/3/2023,4/4/2023
14,14,Thực tập sinh,4/3/2023,4/4/2023
15,15,Nhân viên,4/3/2023,4/4/2023
16,16,Nhân viên,4/3/2023,4/4/2023
17,17,Trưởng nhóm,4/3/2023,4/4/2023
18,18,Trưởng nhóm,4/3/2023,4/4/2023
19,19,Nhân viên,4/3/2023,4/4/2023
20,20,Nhân viên,4/3/2023,4/4/2023
21,21,Quản lý,4/3/2023,4/4/2023
22,21,Giám sát,4/3/2023,4/4/2023
23,22,Thực tập sinh,4/3/2023,4/4/2023
24,23,Nhân viên,4/3/2023,4/4/2023
25,24,Nhân viên,4/3/2023,4/4/2023
26,25,Nhân viên,4/3/2023,4/4/2023
27,26,Nhân viên,4/3/2023,4/4/2023
28,27,Thực tập sinh,4/3/2023,4/4/2023
29,28,Nhân viên,4/3/2023,4/4/2023
30,29,Nhân viên,4/3/2023,4/4/2023
31,30,Thực tập sinh,4/3/2023,4/4/2023
32,31,Trưởng nhóm,4/3/2023,4/4/2023
33,32,Nhân viên,4/3/2023,4/4/2023
34,33,Nhân viên,4/3/2023,4/4/2023
35,34,Nhân viên,4/3/2023,4/4/2023
36,35,Nhân viên,4/3/2023,4/4/2023
37,36,Nhân viên,4/3/2023,4/4/2023
38,37,Nhân viên,4/3/2023,4/4/2023
39,38,Nhân viên,4/3/2023,4/4/2023
40,39,Nhân viên,4/3/2023,4/4/2023
41,40,Thực tập sinh,4/3/2023,4/4/2023
42,41,Thực tập sinh,4/3/2023,4/4/2023
43,42,Quản lý,4/3/2023,4/4/2023
44,42,Giám sát,4/3/2023,4/4/2023
45,43,Nhân viên,4/3/2023,4/4/2023
46,44,Nhân viên,4/3/2023,4/4/2023
47,45,Nhân viên,4/3/2023,4/4/2023
48,46,Nhân viên,4/3/2023,4/4/2023
49,47,Nhân viên,4/3/2023,4/4/2023
50,48,Nhân viên,4/3/2023,4/4/2023
51,49,Nhân viên,4/3/2023,4/4/2023
52,50,Nhân viên,4/3/2023,4/4/2023
